Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q,m
0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.1,1.0,1.0,1.0,0.0,0.1,0.9,75.0
0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.9,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.9,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.9,500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.9,750.0
0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,1.0,1.0,1.0,0.0,0.1,0.9,1000.0
0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,1.0,2.0,2.0,0.0,0.1,0.9,10.0
0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,1.0,2.0,2.0,0.0,0.1,0.9,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.1,0.9,50.0
0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.1,0.9,75.0
0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,2.0,2.0,0.0,0.1,0.9,100.0
0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,1.0,2.0,2.0,0.0,0.1,0.9,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.1,0.9,500.0
0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,1.0,2.0,2.0,0.0,0.1,0.9,750.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.1,0.9,1000.0
0.0,0.2,0.2,0.1,0.3,0.3,0.4,0.5,0.4,0.3,1.0,1.0,1.0,0.25,0.1,0.9,10.0
0.6,0.5,0.7,0.8,0.5,0.6,0.9,0.9,0.5,0.5,1.0,1.0,1.0,0.25,0.1,0.9,25.0
0.9,0.4,0.9,1.0,0.6,0.4,1.0,1.0,0.6,0.5,1.0,1.0,1.0,0.25,0.1,0.9,50.0
0.9,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.25,0.1,0.9,75.0
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.9,100.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.9,250.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.9,500.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.9,750.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1,0.9,1000.0
0.2,0.2,0.4,0.8,0.4,0.2,0.4,0.9,0.3,0.3,1.0,2.0,2.0,0.25,0.1,0.9,10.0
0.6,0.2,0.7,1.0,0.5,0.5,0.8,1.0,0.6,0.5,1.0,2.0,2.0,0.25,0.1,0.9,25.0
1.0,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,50.0
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,75.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,100.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,250.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,500.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,750.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.1,0.9,1000.0
