Pearson_gof,Pearson_ed,Conv_gof_1,Conv_gof_2,Conv_ed_1,Conv_ed_2,True_gof_1,True_gof_2,True_ed_1,True_ed_2
0.35249362772997195,0.7354332562762874,0.2971844548841806,0.5782730438834455,0.9871048244741616,0.9359377909822331,0.34652577323123945,0.6084225138395374,0.9412628624552712,0.9278628260884918
0.2235590090654548,0.1958411097804338,0.19469467290917059,0.42476564946511763,0.7419716088982168,0.3305134484897219,0.30102089505201235,0.40428383119276634,0.8137405399045681,0.32555375153717925
0.14285165844080852,0.6285839333986252,0.1710246864344988,0.08371401793373762,0.30122553593541856,0.5849528466819474,0.08266260941288771,0.14278718128752876,0.26367396341563254,0.5350534581960553
0.37257117375159116,0.5321751207513092,0.3476594619426332,0.5029292415606195,0.48205990870510773,0.6392460619250085,0.2884960019595026,0.5137142534570597,0.47638878821313413,0.6366355757048685
0.0027209395547090516,0.1119158749536927,0.042559670007135605,0.06825451903277621,0.23333910044483697,0.3430149362816195,0.025040475301705965,0.06167484272278645,0.2581395925776411,0.30651836926620357
0.957165657337416,0.423742517405692,0.9448100298105742,0.9703110025049344,0.7951082195778458,0.36947385723508414,0.9531751383650329,0.9692332344763439,0.756971369453024,0.4393442746437155
0.44966556919749123,0.018323778021562324,0.6886049305022968,0.385288572962329,0.004728350158613756,0.005402613995174548,0.5724229555509,0.47443147087093074,0.009113974052635206,0.015926730284978683
0.6429886129152255,0.6796508357824069,0.17141171197560806,0.3758636982043655,0.26004905458993427,0.48306701039376,0.21781245119632875,0.39417061572904927,0.30960590774400326,0.44839905187714546
0.3499646270825785,0.09647156073957609,0.8900452846256952,0.8581968128410649,0.275487621114393,0.3393742292665649,0.919702194275526,0.8557282818707014,0.2496801897464832,0.3928435375247139
0.06431569335469688,0.00634942054784207,0.3773916005248589,0.051440514867536744,0.44459653016218137,0.0136795406009526,0.6334588728335782,0.058110464247618565,0.9379331616954728,0.008138410631116517
