Pearson_gof,Pearson_ed,Conv_gof_1,Conv_gof_2,Conv_ed_1,Conv_ed_2,True_gof_1,True_gof_2,True_ed_1,True_ed_2
0.20395380616397704,0.2737733935931512,0.09462075790551844,0.00704416576694162,0.18056042135064682,0.09112047140598482,0.2408047240927652,0.005285134858023379,0.8136635191255506,0.04292923837479132
0.26557848921244276,0.7097395956891255,0.21938373830774488,0.4701225353431131,0.8757895173665964,0.8885193313856463,0.4847835751671522,0.34910555509452484,0.7556730626703938,0.8990523685821663
0.1754166289177396,0.15528393486390304,0.40483656014524716,0.023332810410231154,0.17728038433177942,0.39558111705782906,0.5051570001259897,0.08826770744329154,0.12591591783479544,0.2925184886500563
0.36986261396202774,0.42936214923513516,0.3796810024985723,0.024606075259590205,0.1412204002767049,0.24087249678306932,0.3067057678351918,0.43408113752883937,0.1528575491882376,0.3507719269028116
0.02779360533250437,0.07877367034834744,0.05576687220081108,0.005103759888794174,0.05379524156626322,0.13531604581187756,0.011780043170294406,0.04134870046427476,0.02421883331307872,0.07691058551220326
0.8733938638067983,0.824599765691753,0.5021748671408839,0.632853488199326,0.3701794083502826,0.6681155028091479,0.4212099854620045,0.6783477356413481,0.33143075396292987,0.6229587188329788
0.2903816636329178,0.1839930777771586,0.5305642814296339,0.001199185380051976,0.3144253511905394,0.20129964640719106,0.29764451508125633,0.2718836796821935,0.19674493585806033,0.2728829467902878
0.34915918525880857,0.39945783697852344,0.22488038261775645,0.44932896411722223,0.2175431481326604,0.46147226085595594,0.17022739011175791,0.3858213068291245,0.1997010210414679,0.4221106260411235
0.8733938638067983,0.379218449081814,0.9915394427343004,0.3291929878079053,0.3782078222181474,0.4380680860813525,0.9004970734316132,0.5352614285189905,0.32722769450111716,0.509255391628835
0.15632802248045938,0.86212789577845,0.21295002444876313,3.576300813008414e-05,0.8257113904034017,0.5760098245484835,0.058033380890339055,0.12053997847197138,0.752453112229588,0.7544270837724867
